name,chineseName,englishName,pinyinName,sku,description,category,unit,requiresPrescription,basePrice,metadata,status
"罗汉果","罗汉果","罗汉guo","罗汉guo","TCM-GU-001","化痰止咳，适用于痰湿咳嗽","化痰止咳平喘药","克",true,0.00085,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.821Z"""",""""originalData"""":{""""chineseName"""":""""罗汉果"""",""""pricePerGram"""":0.00085}}","active"
"玄明粉","玄明粉","玄ming","玄ming","TCM-MI-002","玄明粉，中药材","攻下药","克",true,0.008,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.821Z"""",""""originalData"""":{""""chineseName"""":""""玄明粉"""",""""pricePerGram"""":0.008}}","active"
"鸭脚皮","鸭脚皮","Ya脚pi","ya脚pi","TCM-YA-003","外用治疗，根据具体情况使用","外用药","克",true,0.008,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.821Z"""",""""originalData"""":{""""chineseName"""":""""鸭脚皮"""",""""pricePerGram"""":0.008}}","active"
"南姜","南姜","Nanjiang","nanjiang","TCM-NA-004","南姜，中药材","温里药","克",true,0.008,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.821Z"""",""""originalData"""":{""""chineseName"""":""""南姜"""",""""pricePerGram"""":0.008}}","active"
"两面针","两面针","两面针","两面针","TCM-KO-005","祛风除湿，适用于风湿痹痛","祛风湿药","克",true,0.0085,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.821Z"""",""""originalData"""":{""""chineseName"""":""""两面针"""",""""pricePerGram"""":0.0085}}","active"
"田基王","田基王","田基王","田基王","TCM-WG-006","清热解毒，适用于热毒证","清热解毒药","克",true,0.0085,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""田基王"""",""""pricePerGram"""":0.0085}}","active"
"蛤壳","蛤壳","蛤壳","蛤壳","TCM-EV-007","化痰止咳，适用于痰湿咳嗽","化痰止咳平喘药","克",true,0.009,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""蛤壳"""",""""pricePerGram"""":0.009}}","active"
"自然铜","自然铜","自然tong","自然tong","TCM-TO-008","自然铜，中药材","其他中药","克",true,0.009,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""自然铜"""",""""pricePerGram"""":0.009}}","active"
"白矾","白矾","Baifan","baifan","TCM-BA-009","白矾，中药材","其他中药","克",true,0.01,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""白矾"""",""""pricePerGram"""":0.01}}","active"
"凤尾草","凤尾草","Feng尾cao","feng尾cao","TCM-FE-010","清热解毒，适用于热毒证","清热解毒药","克",true,0.01,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""凤尾草"""",""""pricePerGram"""":0.01}}","active"
"茯苓皮","茯苓皮","Fulingpi","fulingpi","TCM-FU-011","利水消肿，适用于水湿停滞","利水渗湿药","克",true,0.01,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""茯苓皮"""",""""pricePerGram"""":0.01}}","active"
"海浮石","海浮石","Hai浮shi","hai浮shi","TCM-HA-012","化痰止咳，适用于痰湿咳嗽","化痰止咳平喘药","克",true,0.01,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""海浮石"""",""""pricePerGram"""":0.01}}","active"
"炉甘石","炉甘石","炉ganshi","炉ganshi","TCM-GA-013","外用治疗，根据具体情况使用","外用药","克",true,0.01,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""炉甘石"""",""""pricePerGram"""":0.01}}","active"
"络石藤","络石藤","络shiteng","络shiteng","TCM-SH-014","祛风除湿，适用于风湿痹痛","祛风湿药","克",true,0.01,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""络石藤"""",""""pricePerGram"""":0.01}}","active"
"瓦楞子","瓦楞子","瓦楞zi","瓦楞zi","TCM-ZI-015","化痰止咳，适用于痰湿咳嗽","化痰止咳平喘药","克",true,0.01,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""瓦楞子"""",""""pricePerGram"""":0.01}}","active"
"珍珠母","珍珠母","Mother of pearl","zhenzhumu","TCM-ZH-016","平肝息风，适用于肝阳上亢","平肝息风药","克",true,0.01,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""珍珠母"""",""""pricePerGram"""":0.01}}","active"
"萹蓄","萹蓄","Bianxu","bianxu","TCM-BI-017","萹蓄，中药材","其他中药","克",true,0.011,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""萹蓄"""",""""pricePerGram"""":0.011}}","active"
"蜜枣","蜜枣","枣","枣","TCM-IL-018","补气健脾，适用于气虚证","补气药","克",true,0.011,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""蜜枣"""",""""pricePerGram"""":0.011}}","active"
"油松节","油松节","You松节","you松节","TCM-YO-019","祛风除湿，适用于风湿痹痛","祛风湿药","克",true,0.011,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""油松节"""",""""pricePerGram"""":0.011}}","active"
"雄黄","雄黄","Realgar","xionghuang","TCM-XI-020","外用治疗，根据具体情况使用","外用药","克",true,0.011,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""雄黄"""",""""pricePerGram"""":0.011}}","active"
"侧柏叶","侧柏叶","侧柏ye","侧柏ye","TCM-YE-021","收敛止血，适用于各种出血证","止血药","克",true,0.012,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""侧柏叶"""",""""pricePerGram"""":0.012}}","active"
