中文名,Price/g
罗汉果,0.00085
玄明粉,0.008
鸭脚皮,0.008
南姜,0.008
两面针,0.00085
田基王,0.00085
蛤壳,0.009
白茅铜,0.009
白机,0.01
凤尾草,0.01
茯苓皮,0.01
海浮石,0.01
炉甘石,0.01
络石藤,0.01
瓦楞子,0.01
珍珠母,0.01
萸黄,0.011
蜜枣,0.011
油松节,0.011
雄黄,0.011
侧柏叶,0.012
赤石脂,0.012
磁石,0.012
赤小豆,0.012
倒扣草,0.012
滑石粉,0.012
老鹳草,0.012
栗壳,0.012
麦芽,0.012
炒麦芽,0.012
牡蛎,0.012
青蒿,0.012
忍冬藤,0.012
石膏,0.012
银杏叶,0.012
泽兰,0.012
棕榈炭,0.012
谷芽,0.0125
炒谷芽,0.0125
吸黄草,0.013
路路通,0.013
薏苡仁,0.01304
小桑枝,0.0135
灸枇杷叶,0.0135
醋莪术,0.0135
益母草,0.0135
红枣,0.01392
黑豆,0.014
距骨草,0.014
阳起石,0.014
车前草,0.014
白头翁,0.0145
槐花,0.015
大腹皮,0.015
淡豆豉,0.015
海桐皮,0.015
荷叶,0.015
花生衣,0.015
火炭母,0.015
决明子,0.015
荔枝核,0.015
木棉花,0.015
木贼,0.015
蜜枣+A112,0.015
枇杷叶,0.015
桑寄生,0.015
石榴皮,0.015
石南藤,0.015
溪黄草,0.015
仙鹤草,0.015
红藤,0.014
煨牡蛎,0.014
鱼腥草,0.014
香薷,0.015
薏仁,0.015
紫石英,0.015
合欢皮,0.016
菊苣,0.016
毛冬青,0.016
青果,0.016
山楂叶,0.016
石决明,0.016
红枣,0.0165
首乌藤,0.01696
艾叶,0.017
卷柏,0.017
胡芦巴,0.0174
布渣叶,0.018
穿心莲,0.018
大青叶,0.018
岗梅根,0.018
虎杖,0.018
荆芥,0.018
亮筋藤,0.018
素馨,0.018
青皮丝,0.018
青风藤,0.018
山楂,0.018
伸筋草,0.018
珍珠透骨草,0.018
王不留行子,0.018
番泻叶,0.018
辣薤草,0.018
小茴香,0.018
炒薏苡子,0.0185
黄药子,0.019
菜服子,0.019
女贞子,0.019
酒女贞子,0.019
神曲茶,0.019
广金钱草,0.01914
苍耳子,0.0193
白芥子,0.0195
黑芝麻,0.0195
夜交藤,0.0195
桂枝,0.0198
白茅根,0.02
半枝莲,0.02
陈皮丝,0.02
大飞扬,0.02
淡竹叶,0.02
冬瓜子,0.02
冬寒子,0.02
浮萍,0.02
葫芦巴,0.02
鸡血藤,0.02
鸡矢藤,0.02
连房,0.02
马鞭草,0.02
马齿苋,0.02
芒果核,0.02
蜜蒙花,0.02
绵茵陈,0.02
青箱子,0.02
桑叶,0.02
莶房子,0.02
乌梅,0.02
天葵子,0.021
紫花地丁,0.021
半边莲,0.022
炒陈皮丝,0.022
瓜蒌皮,0.022
金钱草,0.022 
