中文名,英文名,拼音名,SKU,分类,单位,需要处方,基础价格,状态
当归_1,Angelica sinensis 1,danggui_1,DG,补益药,g,否,0.95,active
川芎_2,Ligusticum chuanxiong 2,chuanxiong_2,CX,活血药,g,否,0.95,active
白芍_3,Paeonia lactiflora 3,baishao_3,BS,其他中药,g,否,1.23,active
熟地黄_4,Rehmannia glutinosa 4,shudihuang_4,SDH,补益药,g,否,0.79,active
人参_5,Panax ginseng 5,renshen_5,RS,补益药,g,否,15.51,active
党参_6,Codonopsis pilosula 6,dangshen_6,DS,补益药,g,否,1.27,active
黄芪_7,Astragalus membranaceus 7,huangqi_7,HQ,补益药,g,否,0.66,active
甘草_8,Glycyrrhiza uralensis 8,gancao_8,GC,其他中药,g,否,0.51,active
陈皮_9,Citrus reticulata 9,chenpi_9,CP,理气药,g,否,0.55,active
半夏_10,Pinellia ternata 10,banxia_10,BX,化痰药,g,是,1.83,active
茯苓_11,Poria cocos 11,fuling_11,FL,化痰药,g,否,0.75,active
白术_12,Atractylodes macrocephala 12,baizhu_12,BZ,化痰药,g,否,1.14,active
薄荷_13,Mentha haplocalyx 13,bohe_13,BH,其他中药,g,否,0.39,active
厚朴_14,Magnolia officinalis 14,houpo_14,HP,其他中药,g,否,0.95,active
杜仲_15,Eucommia ulmoides 15,duzhong_15,DZ,补益药,g,否,1.51,active
枸杞子_16,Lycium barbarum 16,gouqizi_16,GQZ,补益药,g,否,2.22,active
牛膝_17,Achyranthes bidentata 17,niuxi_17,NX,其他中药,g,否,0.83,active
车前子_18,Plantago asiatica 18,cheqianzi_18,CQZ,其他中药,g,否,1,active
知母_19,Anemarrhena asphodeloides 19,zhimu_19,ZM,其他中药,g,否,1.14,active
浙贝母_20,Fritillaria thunbergii 20,zhebeimu_20,ZBM,止咳药,g,否,8.55,active
川贝母_21,Fritillaria cirrhosa 21,chuanbeimu_21,CBM,止咳药,g,否,25.09,active
藏红花_22,Crocus sativus 22,zanghonghua_22,ZHH,活血药,g,是,45,active
番泻叶_23,Cassia angustifolia 23,fanxieye_23,FXY,其他中药,g,否,0.3,active
诃子_24,Terminalia chebula 24,hezi_24,HZ,其他中药,g,否,0.93,active
没药_25,Commiphora myrrha 25,moyao_25,MY,其他中药,g,否,3.29,active
乳香_26,Boswellia carterii 26,ruxiang_26,RX,其他中药,g,否,2.9,active
血竭_27,Daemonorops draco 27,xuejie_27,XJ,其他中药,g,否,12.59,active
阿胶_28,Equus asinus 28,ajiao_28,AJ,其他中药,g,否,18.03,active
龟板_29,Chinemys reevesii 29,guiban_29,GB,其他中药,g,否,6.6,active
鳖甲_30,Trionyx sinensis 30,biejia_30,BJ,其他中药,g,否,4.24,active
蛤蚧_31,Gekko gecko 31,gejie_31,GJ,其他中药,g,否,15.81,active
海马_32,Hippocampus kelloggii 32,haima_32,HM,其他中药,g,否,22.02,active
石决明_33,Haliotis diversicolor 33,shijueming_33,SJM,其他中药,g,否,1.22,active
夜明砂_34,Vespertilio superans 34,yemingsha_34,YMS,其他中药,g,否,2.45,active
五倍子_35,Rhus chinensis 35,wubeizi_35,WBZ,其他中药,g,否,1.23,active
五加皮_36,Acanthopanax gracilistylus 36,wujiapi_36,WJP,其他中药,g,否,0.98,active
五味子_37,Schisandra chinensis 37,wuweizi_37,WWZ,其他中药,g,否,3.52,active
五指毛桃_38,Ficus hirta 38,wuzhimaotao_38,WZMT,其他中药,g,否,0.73,active
仙茅_39,Curculigo orchioides 39,xianmao_39,XM,其他中药,g,否,2.14,active
佛手_40,Citrus medica 40,foshou_40,FS,理气药,g,否,1.94,active
金银花_41,Lonicera japonica 41,jinyinhua_41,JYH,清热药,g,否,1.84,active
连翘_42,Forsythia suspensa 42,lianqiao_42,LQ,清热药,g,否,1.26,active
板蓝根_43,Isatis tinctoria 43,banlangen_43,BLG,清热药,g,否,0.95,active
大青叶_44,Isatis indigotica 44,daqingye_44,DQY,清热药,g,否,0.51,active
蒲公英_45,Taraxacum mongolicum 45,pugongying_45,PGY,清热药,g,否,0.62,active
