中文名	英文名	价格
当归	Angelica sinensis	0.85
川芎	Ligusticum chuanxiong	0.92
白芍	Paeonia lactiflora	1.15
熟地黄	Rehmannia glutinosa	0.78
人参	Panax ginseng	15.50
党参	Codonopsis pilosula	1.25
黄芪	Astragalus membranaceus	0.65
甘草	Glycyrrhiza uralensis	0.45
陈皮	Citrus reticulata	0.55
半夏	Pinellia ternata	1.80
茯苓	Poria cocos	0.70
白术	Atractylodes macrocephala	1.10
薄荷	Mentha haplocalyx	0.35
厚朴	Magnolia officinalis	0.88
杜仲	Eucommia ulmoides	1.45
枸杞子	Lycium barbarum	2.20
牛膝	Achyranthes bidentata	0.75
车前子	Plantago asiatica	0.95
知母	Anemarrhena asphodeloides	1.05
浙贝母	Fritillaria thunbergii	8.50
川贝母	Fritillaria cirrhosa	25.00
藏红花	Crocus sativus	45.00
番泻叶	Cassia angustifolia	0.30
诃子	Terminalia chebula	0.85
没药	Commiphora myrrha	3.20
乳香	Boswellia carterii	2.80
血竭	Daemonorops draco	12.50
阿胶	Equus asinus	18.00
龟板	Chinemys reevesii	6.50
鳖甲	Trionyx sinensis	4.20
蛤蚧	Gekko gecko	15.80
海马	Hippocampus kelloggii	22.00
石决明	Haliotis diversicolor	1.15
夜明砂	Vespertilio superans	2.40
五倍子	Rhus chinensis	1.20
五加皮	Acanthopanax gracilistylus	0.95
五味子	Schisandra chinensis	3.50
五指毛桃	Ficus hirta	0.65
仙茅	Curculigo orchioides	2.10
佛手	Citrus medica	1.85
金银花	Lonicera japonica	1.75
连翘	Forsythia suspensa	1.25
板蓝根	Isatis tinctoria	0.85
大青叶	Isatis indigotica	0.45
蒲公英	Taraxacum mongolicum	0.55
紫花地丁	Viola philippica	0.75
野菊花	Chrysanthemum indicum	0.65
夏枯草	Prunella vulgaris	0.50
决明子	Cassia obtusifolia	0.40
菊花	Chrysanthemum morifolium	1.95
