中文名	英文名	价格
当归	Angelica sinensis	0.85
川芎	Ligusticum chuanxiong	0.92
白芍	Paeonia lactiflora	1.15
熟地黄	Rehmannia glutinosa	0.78
人参	Panax ginseng	15.50
党参	Codonopsis pilosula	1.25
黄芪	Astragalus membranaceus	0.65
甘草	Glycyrrhiza uralensis	0.45
陈皮	Citrus reticulata	0.55
半夏	Pinellia ternata	1.80
茯苓	Poria cocos	0.70
白术	Atractylodes macrocephala	1.10
薄荷	Mentha haplocalyx	0.35
厚朴	Magnolia officinalis	0.88
杜仲	Eucommia ulmoides	1.45
枸杞子	Lycium barbarum	2.20
牛膝	Achyranthes bidentata	0.75
车前子	Plantago asiatica	0.95
知母	Anemarrhena asphodeloides	1.05
浙贝母	Fritillaria thunbergii	8.50
川贝母	Fritillaria cirrhosa	25.00
藏红花	Crocus sativus	45.00
番泻叶	Cassia angustifolia	0.30
诃子	Terminalia chebula	0.85
没药	Commiphora myrrha	3.20
