中文名	英文名	价格
当归_1	Angelica sinensis 1	0.95
川芎_2	Ligusticum chuanxiong 2	0.95
白芍_3	Paeonia lactiflora 3	1.23
熟地黄_4	Rehmannia glutinosa 4	0.79
人参_5	Panax ginseng 5	15.51
党参_6	Codonopsis pilosula 6	1.27
黄芪_7	Astragalus membranaceus 7	0.66
甘草_8	Glycyrrhiza uralensis 8	0.51
陈皮_9	Citrus reticulata 9	0.55
半夏_10	Pinellia ternata 10	1.83
茯苓_11	Poria cocos 11	0.75
白术_12	Atractylodes macrocephala 12	1.14
薄荷_13	Mentha haplocalyx 13	0.39
厚朴_14	Magnolia officinalis 14	0.95
杜仲_15	Eucommia ulmoides 15	1.51
枸杞子_16	Lycium barbarum 16	2.22
牛膝_17	Achyranthes bidentata 17	0.83
车前子_18	Plantago asiatica 18	1.00
知母_19	Anemarrhena asphodeloides 19	1.14
浙贝母_20	Fritillaria thunbergii 20	8.55
川贝母_21	Fritillaria cirrhosa 21	25.09
藏红花_22	Crocus sativus 22	45.00
番泻叶_23	Cassia angustifolia 23	0.30
诃子_24	Terminalia chebula 24	0.93
没药_25	Commiphora myrrha 25	3.29
乳香_26	Boswellia carterii 26	2.90
血竭_27	Daemonorops draco 27	12.59
阿胶_28	Equus asinus 28	18.03
龟板_29	Chinemys reevesii 29	6.60
鳖甲_30	Trionyx sinensis 30	4.24
蛤蚧_31	Gekko gecko 31	15.81
海马_32	Hippocampus kelloggii 32	22.02
石决明_33	Haliotis diversicolor 33	1.22
夜明砂_34	Vespertilio superans 34	2.45
五倍子_35	Rhus chinensis 35	1.23
五加皮_36	Acanthopanax gracilistylus 36	0.98
五味子_37	Schisandra chinensis 37	3.52
五指毛桃_38	Ficus hirta 38	0.73
仙茅_39	Curculigo orchioides 39	2.14
佛手_40	Citrus medica 40	1.94
金银花_41	Lonicera japonica 41	1.84
连翘_42	Forsythia suspensa 42	1.26
板蓝根_43	Isatis tinctoria 43	0.95
大青叶_44	Isatis indigotica 44	0.51
蒲公英_45	Taraxacum mongolicum 45	0.62
紫花地丁_46	Viola philippica 46	0.75
野菊花_47	Chrysanthemum indicum 47	0.66
夏枯草_48	Prunella vulgaris 48	0.51
决明子_49	Cassia obtusifolia 49	0.40
菊花_50	Chrysanthemum morifolium 50	2.04
当归_51	Angelica sinensis 51	0.93
川芎_52	Ligusticum chuanxiong 52	0.99
白芍_53	Paeonia lactiflora 53	1.17
熟地黄_54	Rehmannia glutinosa 54	0.81
人参_55	Panax ginseng 55	15.54
党参_56	Codonopsis pilosula 56	1.29
黄芪_57	Astragalus membranaceus 57	0.67
甘草_58	Glycyrrhiza uralensis 58	0.49
陈皮_59	Citrus reticulata 59	0.58
半夏_60	Pinellia ternata 60	1.84
茯苓_61	Poria cocos 61	0.76
白术_62	Atractylodes macrocephala 62	1.13
薄荷_63	Mentha haplocalyx 63	0.37
厚朴_64	Magnolia officinalis 64	0.89
杜仲_65	Eucommia ulmoides 65	1.54
枸杞子_66	Lycium barbarum 66	2.29
牛膝_67	Achyranthes bidentata 67	0.84
车前子_68	Plantago asiatica 68	1.02
知母_69	Anemarrhena asphodeloides 69	1.05
浙贝母_70	Fritillaria thunbergii 70	8.55
川贝母_71	Fritillaria cirrhosa 71	25.02
藏红花_72	Crocus sativus 72	45.02
番泻叶_73	Cassia angustifolia 73	0.32
诃子_74	Terminalia chebula 74	0.95
没药_75	Commiphora myrrha 75	3.24
乳香_76	Boswellia carterii 76	2.83
血竭_77	Daemonorops draco 77	12.53
阿胶_78	Equus asinus 78	18.09
龟板_79	Chinemys reevesii 79	6.60
鳖甲_80	Trionyx sinensis 80	4.25
蛤蚧_81	Gekko gecko 81	15.81
海马_82	Hippocampus kelloggii 82	22.04
石决明_83	Haliotis diversicolor 83	1.20
夜明砂_84	Vespertilio superans 84	2.41
五倍子_85	Rhus chinensis 85	1.23
五加皮_86	Acanthopanax gracilistylus 86	0.98
五味子_87	Schisandra chinensis 87	3.56
五指毛桃_88	Ficus hirta 88	0.68
仙茅_89	Curculigo orchioides 89	2.10
佛手_90	Citrus medica 90	1.85
金银花_91	Lonicera japonica 91	1.79
连翘_92	Forsythia suspensa 92	1.34
板蓝根_93	Isatis tinctoria 93	0.93
大青叶_94	Isatis indigotica 94	0.49
蒲公英_95	Taraxacum mongolicum 95	0.63
紫花地丁_96	Viola philippica 96	0.83
野菊花_97	Chrysanthemum indicum 97	0.73
夏枯草_98	Prunella vulgaris 98	0.55
决明子_99	Cassia obtusifolia 99	0.41
菊花_100	Chrysanthemum morifolium 100	1.99
