中文名,英文名,价格
高丽参片,Panax Ginseng,0.36956
龙齿,Os Draconis,0.32174
红参片,Panax Ginseng,0.28696
胡黄连,Rhizoma Picrorhizae,0.26086
黄连,Rhizoma Coptidis,0.1913
虎乳菌,Hu Ru Jun,0.29565
莲须,Stamen Nelumbinis,0.17392
蝉蜕,Periostracum Cicadae,0.1913
通草圆片,Medulla Tetrapanacis,0.17392
白参须,Panax Ginseng,0.20652
桂花,Osmanthus fragrans,0.212
川贝,Bulbus Fritillariae Cirrhosae,0.16086
猫爪草,Radix Ranunculi Ternati,0.17392
参芪四宝茶,Si Bao Herbal Tea,0.128
白鲜皮,Cortex Dictamni,0.15218
天麻,Rhizoma Gastrodiae,0.17391
三七粉,Radix Notoginseng Powder,0.13912
龙胆草,Radix Gentianae,0.16086
炙远志,Radix Polygalae ,0.14348
连翘,Fructus Forsythiae,0.08956
蕤仁肉,Nux Prinsepiae,0.13478
细辛,Herba Asari,0.13912
海金沙,Spora Lygodii,0.12
延胡索,Rhizoma Corydalis,0.10434
远志,Radix Polygalae,0.1287
炒酸枣仁,Semen Ziziphi Spinosae ,0.0826
北柴胡,Radix Bupleuri,0.13914
灯芯草,Medulla Junci,0.084342857
当归全片,Radix Angelicae Sinensis,0.130433333
炒白术,Rhizoma Atractylodis Macrocephalae ,0.13044
胖大海,Semen Sterculiae Lychnophorae,0.12174
羌活,Rhizoma et Radix Notopterygii,0.1087
酸枣仁,Semen Ziziphi Spinosae,0.0826
浙贝母,Bulbus Fritillariae Thunbergii,0.1026
胖大海,Semen Sterculiae Lychnophorae,0.1322
红花特级,Flos Carthami,0.10956
田七片,Radix Notoginseng,0.13044
雪莲子,Gleditsia sinensis Lam.,0.1148
白蔹,Radix Ampelopsis,0.0826
法半夏,Rhizoma Pinelliae,0.11304
覆盆子,Fructus Rubi,0.09566
姜半夏,Rhizoma Pinelliae (ginger cured),0.11304
蜜紫菀,Radix Asteris ,0.09566
清半夏,Pinellia ternata (tuber prepared),0.09566
银柴胡,Radix Stellariae,0.11304
猪苓,Polyporus,0.09478
紫菀,Radix Asteris,0.09566
刺五加皮,Radix seu Caulis Acanthopanacis Senticosi,0.1026
扁豆衣,Seed-coat of Semen Lablab Album,0.09566
党参五级,Radix Codonopsis,0.11478
肉苁蓉,Herba Cistanches,0.0913
太子参,Radix Pseudostellariae,0.07566
牡丹皮,Cortex Moutan,0.0913
雪燕,Gum Tragacanth,0.098533333
白薇,Radix Cynanchi Atrati,0.09392
柏子仁,Semen Platycladi,0.0826
葛花,Pueraria lobata,0.07826
金银花,Flos Lonicerae,0.09566
蔓荆子,Fructus Viticis,0.08522
胎菊,Flos Chrysanthemi,0.0956
麦冬,Radix Ophiopogonis,0.0913
谷精草,Flos Eriocauli,0.0826
蜜升麻,Rhizoma Cimicifugae ,0.08696
升麻,Rhizoma Cimicifugae,0.08696
白术统货,Rhizoma Atractylodis Macrocephalae,0.1
海玉竹,Rhizoma Polygonati Odorati,0.0942
原枝黄芪条,Radix Astragali,0.09295
